"日本標準産業分類(平成25年[2013年]10月改定)"
"分類コード","項目名","項目の説明"
"31","輸送用機械器具製造業","総　　　説
　この中分類には，輸送用機械器具を製造する事業所が分類される。
　主な製品は，自動車，船舶，航空機，鉄道車両及びその他の輸送機械器具（自転車，牛馬車など）である。
"
"310","管理，補助的経済活動を行う事業所（31輸送用機械器具製造業）",""
"3100","主として管理事務を行う本社等","主として輸送用機械器具製造業の事業所を統括する本社等として，自企業の経営を推進するための組織全体の管理統括業務，人事・人材育成，総務，財務・経理，法務，知的財産管理，企画，広報・宣伝，調査・研究開発，生産・プロジェクト管理，不動産管理，情報システム管理，保有資機材の管理，仕入・原材料購入，役務・資材調達等の現業以外の業務を行う事業所をいう。
"
"3109","その他の管理，補助的経済活動を行う事業所","主として輸送用機械器具製造業における活動を促進するため，同一企業の他事業所に対して，輸送，清掃，修理・整備，保安等の支援業務を行う事業所をいう。
"
"311","自動車・同附属品製造業",""
"3111","自動車製造業（二輪自動車を含む）","主として各種自動車（二輪自動車を含む）の完成品及び自動車シャシーの製造並びに組立てを行う事業所をいう。
ただし，主として自動車車体の製造並びに車体のシャシー組付けを行う事業所は細分類3112に，主として自動車の部分品を製造する事業所は細分類3113に，主として構内運搬車両を製造する事業所は小分類315に，トラクタを製造する事業所は中分類26［2611又は2621］に分類される。
"
"3112","自動車車体・附随車製造業","主として乗用車，トラック，バスの車体の製造並びに車体のシャシー組付けを行う事業所及びトレーラを製造する事業所をいう。
主として自動車の完成品及び自動車シャシーを製造する事業所は細分類3111に，また，乗用車，トラック，バス用の鍛造品及びプレス加工車体附属品，部分品を製造する事業所は金属の種類によって中分類24［2451又は2452］に分類される。
"
"3113","自動車部分品・附属品製造業","主として自動車部分品及び附属品を製造するが，自動車完成品を製造しない事業所をいう。
主な製品は，自動車エンジン並びにその部分品，ブレーキとその部分品，クラッチ車軸，ラジエータ，デファレンシャルギヤ，トランスミッション，車輪，窓ふき，オイルフィルタ，オイルストレーナのような他に分類されない部分品，附属品類である。
主として自動車完成品の製造や組立てを行う事業所は細分類3111に，タイヤ，チューブを製造する事業所は中分類19［1911］に，自動車用ガラスを製造する事業所は中分類21［2112］に，自動車用金物を製造する事業所は中分類24［2429］に，自動車用スタンプ加工品を製造する事業所は中分類24［245］に，ヘッドライトを製造する事業所は中分類29［2942］に，点火装置を製造する事業所は中分類29［2922］に，蓄電池を製造する事業所は中分類29［2951］にそれぞれ分類される。
"
"312","鉄道車両・同部分品製造業",""
"3121","鉄道車両製造業","主として鉄道事業の用に供する機関車，電車，気動車，客車及び貨車並びに特殊鉄道の用に供する車両の製造，修理又は改造を行う事業所をいう。
ただし，鉄道車両の修理，改造を行う事業所であって鉄道業の自家用のものは大分類Ｈ－運輸業，郵便業［42］に分類される。
"
"3122","鉄道車両用部分品製造業","主として鉄道車両用の部分品を製造する事業所をいう。
主な製品は，鉄道車両用ブレーキ装置，ジャンパ連結器，戸閉装置などである。
"
"313","船舶製造・修理業，舶用機関製造業",""
"3131","船舶製造・修理業","主として船舶の製造・修理設備として造船台，ドック若しくは引揚船台を有し，船舶を製造又は修理する事業所をいう。
ただし，主として船体ブロック若しくは船舶用の部分品（甲板機械，アンカーチェーン，プロペラ，ぎ装品など）のみを製造・修理する事業所又は下請けとして塗装工事，船台工事，建具工事，配線工事などを行う事業所は本分類に含まれない。
また，舟艇を製造又は修理する事業所は細分類3133に分類される。
"
"3132","船体ブロック製造業","主として鋼船の船体ブロックを製造する事業所をいう。
"
"3133","舟艇製造・修理業","主として舟艇を製造又は修理する事業所をいう。
"
"3134","舶用機関製造業","主として舶用の蒸気機関，蒸気タービン，内燃機関を製造する事業所をいう。
"
"314","航空機・同附属品製造業",""
"3141","航空機製造業","主として飛行機，滑空機，飛行船及び気球のような航空機の製造若しくは組立てを行う事業所をいう。
また，航空機部分品及び補助装置を併せて製造する事業所も本分類に含まれる。
主として原動機，プロペラ及びその他の航空機部分品及び補助装置を製造するが，航空機の製造若しくは組立てを行わない事業所は細分類3142又は3149に分類される。
なお，航空機のオーバーホールを行う事業所も本分類に含まれる。
"
"3142","航空機用原動機製造業","主として航空原動機及びその部分品を製造するが，完成航空機の製造若しくは組立てを行わない事業所をいう。
主な製品は，ピストンエンジン及びジェットエンジン空気取入口，ターボスーパーチャージャ，潤滑装置，冷却装置，排気装置，始動機（電気式でないもの）及び航空原動機用ポンプである。
なお，航空機用原動機のオーバーホールを行う事業所も本分類に含まれる。
"
"3149","その他の航空機部分品・補助装置製造業","主として他に分類されない航空機部分品及び補助装置を製造するが，完成航空機の組立てを行わない事業所をいう。
主な製品は，プロペラ，胴体，主翼，フラップ，空気制動板，昇降だ，安定板，方向だ，及びその他の尾部組立部品，着陸及び揚陸用装置を含む降着装置，フロート，着陸用そり，補助装置としては防水装置，爆弾架，砲塔及び砲塔く動装置，パラシュート，標的，リンクトレーナ及び他に分類されない特に航空機のために用いられる補助装置である。
主として航空原動機及び部分品を製造する事業所は細分類3142に，航空計器を製造する事業所は中分類27［273］に，航空機用電装品を製造する事業所は中分類29［2922］に分類される。
"
"315","産業用運搬車両・同部分品・附属品製造業",""
"3151","フォークリフトトラック・同部分品・附属品製造業","主としてフォークリフトトラック及び同部分品，附属品を製造する事業所をいう。
"
"3159","その他の産業用運搬車両・同部分品・附属品製造業","主として他に分類されない構内を走行する運搬車両及び同部分品，附属品を製造する事業所をいう。
"
"319","その他の輸送用機械器具製造業",""
"3191","自転車・同部分品製造業","主として自転車及びその部分品を製造する事業所をいう。
購入部品から自転車を組立てる事業所も本分類に含まれる。
ただし，主として玉軸受を製造する事業所は中分類25［2594］に，児童乗物を製造する事業所は中分類32［3251］に分類される。
"
"3199","他に分類されない輸送用機械器具製造業","主として畜力による乗物（荷牛馬車，馬車，そり，小形そり）及びその部分品，人力車，リヤカーのような他に分類されない輸送車両及び部分品を製造する事業所をいう。ロケット，気象観測用バルンのような飛しょう（翔）体・同部分品・附属品及び補助装置などを製造する事業所も本分類に含まれる。
主として搭載用誘導装置，制御装置及び計測器類を製造する事業所は中分類29［2972］に，地上誘導装置及び制御装置を製造する事業所は中分類30［3013］に分類される。
"
"32","その他の製造業","総　　　説
　この中分類には，主として他のいずれの中分類にも分類されない製品を製造する事業所が分類される。
　主な製品は，貴金属製品，ボタン，時計，楽器，がん具，運動用具，ペン，鉛筆，絵画用品，漆器，レコード，眼鏡などである。
"
"320","管理，補助的経済活動を行う事業所（32その他の製造業）",""
"3200","主として管理事務を行う本社等","主としてその他の製造業の事業所を統括する本社等として，自企業の経営を推進するための組織全体の管理統括業務，人事・人材育成，総務，財務・経理，法務，知的財産管理，企画，広報・宣伝，調査・研究開発，生産・プロジェクト管理，不動産管理，情報システム管理，保有資機材の管理，仕入・原材料購入，役務・資材調達等の現業以外の業務を行う事業所をいう。
"
"3209","その他の管理，補助的経済活動を行う事業所","主としてその他の製造業における活動を促進するため，同一企業の他事業所に対して，輸送，清掃，修理・整備，保安等の支援業務を行う事業所をいう。
"
"321","貴金属・宝石製品製造業",""
"3211","貴金属・宝石製装身具（ジュエリー）製品製造業","主として貴金属（金，銀，プラチナ等）及び宝石（ダイヤモンド，ルビー，エメラルド等の天然宝石，真珠等）を用いた装身具などを製造する事業所をいう。
主な製品は，ネックレス，ブレスレット，指輪，イヤリングなどである。
ただし，主として貴金属及び宝石以外の材料からつくられた装身具，身辺細貨品を製造する事業所は小分類322に分類される。
"
"3212","貴金属・宝石製装身具（ジュエリー）附属品・同材料加工業","主として貴金属・宝石製装身具（ジュエリー）製品の完成品をつくるための部品（座金，針金，管など）を製造加工する事業所をいう。
主として宝石の切断，研磨取り付け，真珠のせん孔等宝石に細工をする事業所も本分類に含まれる。
"
"3219","その他の貴金属製品製造業","主として他に分類されない貴金属（金，銀，プラチナ等）及び宝石（ダイヤモンド，ルビー，エメラルド等の天然宝石，真珠など）を用いた製品を製造する事業所をいう。
主な製品は，貴金属製ナイフ・フォーク・スプーン等の洋食器類，仏具，賞杯等である。
"
"322","装身具・装飾品・ボタン・同関連品製造業（貴金属・宝石製を除く）",""
"3221","装身具・装飾品製造業（貴金属・宝石製を除く）","主として貴金属及び宝石以外の材料から身辺細貨品及び装飾品（造花，装飾用羽毛を除く）を製造する事業所をいう。なお，貴金属及び宝石以外の材料からつくられるくしなど他に分類されない身辺細貨品を製造する事業所及びすず・アンチモン製細工品を製造する事業所も本分類に含まれる。
"
"3222","造花・装飾用羽毛製造業","主として材料のいかんを問わず，造花，葉飾及び主に鳥類の羽毛からつくられた装飾用羽毛（羽毛成品を含む）を製造する事業所をいう。
羽毛の調整，染色などを行う事業所も本分類に含まれる。
"
"3223","ボタン製造業","主として貴金属及び宝石以外の材料からつくられたボタン及びボタンの部品などを製造する事業所をいう。
"
"3224","針・ピン・ホック・スナップ・同関連品製造業","主としてミシン針，手縫針，ピン・ホック・ホック止，スナップ，ファスナーなどを製造する事業所をいう。
"
"3229","その他の装身具・装飾品製造業","主としてその他の装身具，装飾品を製造する事業所をいう。
"
"323","時計・同部分品製造業",""
"3231","時計・同部分品製造業","主として電気時計を含む時計，時刻指示装置及び時計部分品並びに材料のいかんを問わず，時計側を製造する事業所をいう。
主として購入した機械と時計側から完成時計を製造する事業所も本分類に含まれる。
主として時計ガラスを製造する事業所は中分類21［2119］に，プラスチック製時計ガラスを製造する事業所は中分類18［1897］に分類される。
"
"324","楽器製造業",""
"3241","ピアノ製造業","主としてピアノを製造する事業所をいう。
"
"3249","その他の楽器・楽器部品・同材料製造業","主としてピアノを除く楽器及び楽器部品並びに同材料を製造する事業所をいう。
"
"325","がん具・運動用具製造業",""
"3251","娯楽用具・がん具製造業（人形を除く）","主として室内娯楽用具，がん具（人形を除く）及び児童乗物を製造する事業所をいう。
"
"3252","人形製造業","主として模型以外の人形及び人形の部品，衣服，人形に附属する諸道具を製造する事業所をいう。
"
"3253","運動用具製造業","主として運動用具を製造する事業所をいう。
主な製品は，ゴルフ，テニス，ベースボール，フットボール，バスケットボール，ボクシング，スキー，スケート，卓球，玉突などの用具，備品及び運動場・体育館備品などである。
ただし，運動用衣服類を製造する事業所は中分類11［1165，1169］に，靴は使用材料によって中分類11［1189］，19［1921，1922］，20［2041］に分類される。
"
"326","ペン・鉛筆・絵画用品・その他の事務用品製造業",""
"3261","万年筆・ペン類・鉛筆製造業","主として万年筆，シャープペンシル，ペン軸，ペン先，ボールペン，マーキングペン，鉛筆，鉛筆しんなど及びこれらの部品を製造する事業所をいう。
"
"3262","毛筆・絵画用品製造業（鉛筆を除く）","主として毛筆，画筆，描画テーブル，画板，パレット，スケッチボックス，絵画用縮図器，絵具及びろう，描画用インキ及び下図材料，焼画用品などの絵画用品を製造する事業所をいう。
製図用器具を製造する事業所は細分類3269に分類される。
"
"3269","その他の事務用品製造業","主として他に分類されないその他の事務用品を製造する事業所をいう。
"
"327","漆器製造業",""
"3271","漆器製造業","主として生地の材料のいかんを問わず，漆器を製造する事業所をいう。
主な製品は，漆塗りの家具，じゅう器，食器，箱，美術品などである。
"
"328","畳等生活雑貨製品製造業",""
"3281","麦わら・パナマ類帽子・わら工品製造業","主として麦わら，パナマ，経木などの帽子を製造する事業所及びわらで，綱，網，かます，俵，わら細工品などを製造する事業所をいう。
主として畳床を製造する事業所は細分類3282に分類される。
"
"3282","畳製造業","主としてい（藺）草，わら及び合成繊維などで畳を製造する事業所をいう。
主な製品は，畳完成品，畳表，畳床（プラスチック発泡製品とわら製品との合成品を含む），むしろ，花むしろ，ござなどである。
"
"3283","うちわ・扇子・ちょうちん製造業","主として材料のいかんを問わず，うちわ，扇子，ちょうちんを製造する事業所をいう。
"
"3284","ほうき・ブラシ製造業","主として材料のいかんを問わず，家庭用，工業用，その他あらゆる種類のほうき及びブラシを製造する事業所をいう。
主な製品は，家庭用ほうき及びブラシ，工業用ブラシ，歯ブラシ，化粧用ブラシなどである。
"
"3285","喫煙用具製造業（貴金属・宝石製を除く）","主としてシガレットライター及びシガレットケース等の喫煙用具を製造する事業所をいう。
"
"3289","その他の生活雑貨製品製造業","主として傘，マッチ，魔法瓶など他に分類されない生活雑貨製品を製造する事業所をいう。
"
"329","他に分類されない製造業",""
"3291","煙火製造業","主として煙火（観賞用，競技用，信号用，がん具用など）並びに信号炎管及び信号火せん（箭）を製造する事業所をいう。
"
"3292","看板・標識機製造業","主として看板及び標識機（電気的，機械的なものを含む）を製造する事業所をいう。
ネオンサインを製造する事業所も本分類に含まれる。
"
"3293","パレット製造業","主として材料のいかんを問わず，荷役・運搬用パレットを製造する事業所をいう。
"
"3294","モデル・模型製造業","主として材料のいかんを問わず，モデル，模型を製造する事業所をいう。
ただし，靴型を製造する事業所は中分類12［1299］に，工業用試作品モデル及びデザインモデルを製造する事業所は細分類3295に分類される。
"
"3295","工業用模型製造業","主として材料のいかんを問わず，工業用の模型を製造する事業所をいう。
"
"3296","情報記録物製造業（新聞，書籍等の印刷物を除く）","主として情報を記録した物を製造する事業所をいう。
ただし，主として新聞，書籍等を発行する事業所は大分類Ｇ－情報通信業［413，414］に，印刷物を印刷する事業所は中分類15［151］に，生の記録媒体物（磁気テープ，磁気ディスク等）を製造する事業所は中分類28［2832］に，情報処理・情報提供サービスを行っている事業所は大分類Ｇ－情報通信業［392］に分類される。
"
"3297","眼鏡製造業（枠を含む）","主として眼鏡レンズの研磨を行う事業所及び眼鏡枠又は完成した眼鏡を製造する事業所をいう。
個人の注文により眼鏡を調製する事業所は大分類Ｉ－卸売業，小売業［6082］に分類される。
"
"3299","他に分類されないその他の製造業","主として他のいずれにも分類されない各種製品を製造する事業所をいう。
"
"F","電気・ガス・熱供給・水道業","総　　　説
　この大分類には，電気，ガス，熱又は水（かんがい用水を除く）を供給する事業所並びに汚水・雨水の処理等を行う事業所が分類される。
　電気業とは，一般の需要に応じ電気を供給する事業所又はその事業所に電気を供給する事業所，特定規模需要に応じ 一般電気事業者が運用・維持する系統を経由して電気を供給する事業所，特定の供給地点における需要に応じ電気を供給する事業所をいう。自家用発電の事業所も電気業に含まれる。
　ガス業とは，一般の需要に応じ導管によりガスを供給する事業所，一定数量以上の需要に応じて導管によりガスの供給を行う事業所，及び自らが維持し運用する一定規模以上の導管でガスの供給を行う事業所をいう。
　熱供給業とは，一般の需要に応じ蒸気，温水，冷水等を媒体とする熱エネルギー又は蒸気若しくは温水を導管により供給する事業所をいう。
　水道業とは，一般の需要に応じ水道管及びその他の設備をもって給水を行う事業所並びに公共下水道，流域下水道又は都市下水路により汚水・雨水の排除又は処理を行う事業所をいう。
"
"33","電気業","総　　　説
　この中分類には，一般の需要に応じ電気を供給する事業所又はその事業所に電気を供給する事業所，特定規模需要に応じ一般電気事業者が運用・維持する系統を経由して電気を供給する事業所，特定の供給地点における需要に応じ電気を供給する事業所が分類される。
　自家用発電の事業所も本分類に含まれる。
"
"330","管理，補助的経済活動を行う事業所（33電気業）",""
"3300","主として管理事務を行う本社等","主として電気業の事業所を統括する本社等として，自企業の経営を推進するための組織全体の管理統括業務，人事・人材育成，総務，財務・経理，法務，知的財産管理，企画，広報・宣伝，調査・研究開発，生産・プロジェクト管理，不動産管理，情報システム管理，保有資機材の管理，仕入・原材料購入，役務・資材調達等の現業以外の業務を行う事業所をいう。
"
"3309","その他の管理，補助的経済活動を行う事業所","　主として電気業における活動を促進するため，同一企業の他事業所に対して，輸送，清掃，修理・整備，保安等の支援業務を行う事業所をいう。
"
"331","電気業",""
"3311","発電所","発電機，原動力設備，その他の電気工作物を設置して電気を発生する事業所をいう。
"
"3312","変電所","構外から送電される電気を更に構外に送電又は配電するために，構内に設置した変圧器，水銀整流器，シリコン整流器，その他の機械器具により変成する事業所をいう。
"
"34","ガス業","総　　　説
　この中分類には，一般の需要に応じ製造ガス，天然ガス又はこれらの混合ガスを導管により供給する事業所，一定数量以上の需要に応じて導管によりガスの供給を行う事業所，及び自らが維持し運用する一定規模以上の導管でガスの供給を行う事業所が分類される。
　天然ガスの採取を行う事業所は大分類Ｃ－鉱業，採石業，砂利採取業［0532］に分類される。
"
"340","管理，補助的経済活動を行う事業所（34ガス業）",""
"3400","主として管理事務を行う本社等","主としてガス業の事業所を統括する本社等として，自企業の経営を推進するための組織全体の管理統括業務，人事・人材育成，総務，財務・経理，法務，知的財産管理，企画，広報・宣伝，調査・研究開発，生産・プロジェクト管理，不動産管理，情報システム管理，保有資機材の管理，仕入・原材料購入，役務・資材調達等の現業以外の業務を行う事業所をいう。
"
"3409","その他の管理，補助的経済活動を行う事業所","主として,ガス業における活動を促進するため，同一企業の他事業所に対して，輸送，清掃，修理・整備，保安等の支援業務を行う事業所をいう。
"
"341","ガス業",""
"3411","ガス製造工場","導管によりガスを供給するためガスを製造する事業所をいう。
ただし，天然ガスの採取を行う事業所は大分類Ｃ－鉱業,採石業,砂利採取業［0532］に分類される。
"
"3412","ガス供給所","導管によりガスを供給するためガスの受け入れ，貯蔵，送出及び整圧する事業所をいう。
"
"35","熱供給業","総　　　説
　この中分類には，一般の需要に応じ蒸気，温水，冷水等を媒体とする熱エネルギー又は蒸気若しくは温水を導管により供給する事業所が分類される。
"
"350","管理，補助的経済活動を行う事業所（35熱供給業）",""
"3500","主として管理事務を行う本社等","主として熱供給業の事業所を統括する本社等として，自企業の経営を推進するための組織全体の管理統括業務，人事・人材育成，総務，財務・経理，法務，知的財産管理，企画，広報・宣伝，調査・研究開発，生産・プロジェクト管理，不動産管理，情報システム管理，保有資機材の管理，仕入・原材料購入，役務・資材調達等の現業以外の業務を行う事業所をいう。
"
"3509","その他の管理，補助的経済活動を行う事業所","主として熱供給業における活動を促進するため，同一企業の他事業所に対して，輸送，清掃，修理・整備，保安等の支援業務を提供する事業所をいう。
"
"351","熱供給業",""
"3511","熱供給業","一般の需要に応じボイラ，冷凍機等により発生させた蒸気，温水，冷水等を媒体とする熱エネルギー又は蒸気若しくは温水を導管により供給する事業所をいう。
ただし，温泉の泉源を保有し，ゆう出する温湯を旅館などに供給する事業所は大分類Ｒ－サービス業（他に分類されないもの）［9299］に分類される。
"
"36","水道業","総　　　説
　この中分類には，一般の需要に応じ水道管及びその他の設備をもって給水を行う事業所並びに公共下水道，流域下水道又は都市下水路により汚水・雨水の排除又は処理を行う事業所が分類される。
"
"360","管理，補助的経済活動を行う事業所（36水道業）",""
"3600","主として管理事務を行う本社等","主として上水道業，工業用水道業及び下水道業の事業所を統括する本社等として，自企業の経営を推進するための組織全体の管理統括業務等の現業以外の業務を行う事業所をいう。
なお，水道業を行う事業所を指導，監督するもので，都道府県，市町村などが設置する事業所についても本分類に含まれる。
"
"3609","その他の管理，補助的経済活動を行う事業所","主として上水道業,工業用水道業及び下水道業における活動を促進するため,同一企業の他事業所に対して,輸送,清掃,修理・整備,保安等の支援業務を行う事業所をいう。
"
"361","上水道業",""
"3611","上水道業","一般の需要に応じ給水の目的で敷設する水道管及びその他の設備をもって人の飲用に適する水を供給する事業所をいう。
かんがい用水の供給を行う事業所は大分類Ａ－農業，林業［0131］に分類される。
"
"362","工業用水道業",""
"3621","工業用水道業","一般の需要に応じ給水の目的で敷設する水道管及びその他の設備をもって，工業の用に供する水（水力発電の用に供するもの及び人の飲用に適する水を供給するものを除く）を供給する事業所をいう。
"
"363","下水道業",""
"3631","下水道処理施設維持管理業","主として下水を処理するために設けられる処理施設及びポンプ施設の運転，保守，点検などの作業を行う事業所をいう。
"
"3632","下水道管路施設維持管理業","主として下水を排除するために設けられる排水管，排水渠その他の排水施設の清掃，調査・点検，補修などの作業を一体的に行う事業所をいう。
"
"G","情報通信業","総　　　説
　この大分類には，情報の伝達を行う事業所，情報の処理，提供などのサービスを行う事業所，インターネットに附随したサービスを提供する事業所及び伝達することを目的として情報の加工を行う事業所が分類される。
　情報の伝達を行う事業所とは，電磁，非電磁を問わず，映像，音声，文字等の情報を伝達する事業所及び伝達するための手段の設置，運用を行う事業所をいう。
　情報の処理，提供などのサービスを行う事業所とは，電子計算機のプログラムの作成を行う事業所，委託により電子計算機等を用いて情報の処理を行う事業所及び情報を収集・加工・蓄積し，顧客の求めに応じて提供する事業所をいう。
　インターネットに附随したサービスを提供する事業所とは，インターネットを通じて，上記以外の通信業及び情報サービス業を行う事業所をいう。
　情報の加工を行う事業所とは，新聞，雑誌，ラジオ，テレビジョン，映画などの媒体を通じて不特定多数の受け手を対象に大量に情報を伝達させるために，映像，音声，文字等の情報を加工する事業所をいう。

　　　情報通信業と他産業との関係
(1) 製造業との関係
(ｱ) 主として新聞発行又は書籍等の出版を行う事業所は情報通信業とするが，主として新聞又は書籍等の印刷及びこれに関連した補助的業務を行う事業所は大分類Ｅ－製造業［15］に分類される。
(ｲ) 情報記録物（新聞，書籍等の印刷物を除く）の原盤を制作する事業所は情報通信業とするが，自ら原盤の制作を行わず，情報記録物の大量複製のみを行う事業所は大分類Ｅ－製造業［3296］に分類される。
(2) 運輸業との関係
情報記録物，新聞，書籍等の運送を行う事業所は大分類Ｈ－運輸業，郵便業に分類される。
(3) 卸売・小売業との関係
情報記録物，新聞，書籍等を購入して販売する事業所は大分類Ｉ－卸売業，小売業に分類される。
(4) サービス業との関係
(ｱ) 情報記録物，書籍等を賃貸する事業所は大分類Ｋ－不動産業，物品賃貸業［709］に分類される。
(ｲ) 主として依頼人のために広告に係る総合的なサービスを提供する事業所及び広告媒体のスペース又は時間を当該広告媒体企業と契約し，依頼人のために広告する事業所は大分類Ｌ－学術研究，専門・技術サービス業［7311］に分類される。
(ｳ) 個人で詩歌，小説などの文芸作品の創作，文芸批評，評論などの専門的なサービスを提供する事業所は大分類Ｌ－学術研究，専門・技術サービス業［727］に分類される。
(ｴ) 工業デザイン，クラフトデザイン，インテリアデザインなどの工業的，商業的デザインに関する専門的なサービスを提供する事業所は大分類Ｌ－学術研究，専門・技術サービス業［726］に分類される。
"
"37","通信業","総　　　説
　この中分類には，有線，無線，その他の電磁的方式により情報を伝達するための手段の設置，運用を行う事業所が分類される。
　なお，伝達手段の設置のための工事を施工する事業所は大分類Ｄ－建設業［08］に分類される。
"
"370","管理，補助的経済活動を行う事業所（37通信業）",""
"3700","主として管理事務を行う本社等","主として通信業の事業所を統括する本社等として，自企業の経営を推進するための組織全体の管理統括業務，人事・人材育成，総務，財務・経理，法務，知的財産管理，企画，広報・宣伝，営業支援・特定顧客管理，調査・研究開発，生産・プロジェクト管理，支社・支店等の管理，不動産管理，情報システム管理，保有資機材の管理，契約，仕入・原材料購入，役務・資材調達等の現業以外の業務を行う事業所をいう。
"
"3709","その他の管理，補助的経済活動を行う事業所","　主として通信業における活動を促進するため，同一企業の他事業所に対して，輸送，清掃，修理・整備，保安等の支援業務を提供する事業所をいう。
"
"371","固定電気通信業",""
"3711","地域電気通信業（有線放送電話業を除く）","主として県内等地域内における固定通信を行うための手段の設置，運用を行う事業所をいう。
"
"3712","長距離電気通信業","主として長距離における固定通信を行うための手段の設置，運用を行う事業所をいう。
"
"3713","有線放送電話業","有線による放送及び通話両面の設備を用い主として市町村等の一定の区域内における利用者のために放送と通話取扱のサービスを提供する事業所をいう。
"
"3719","その他の固定電気通信業","他に分類されない固定電気通信業を営む事業所をいう。
"
"372","移動電気通信業",""
"3721","移動電気通信業","主として移動通信を行うための手段の設置，運用を行う事業所をいう。
"
"373","電気通信に附帯するサービス業",""
"3731","電気通信に附帯するサービス業","他に分類されない電気通信に附帯するサービスを提供する事業所をいう。
"
"38","放送業","総　　　説
　この中分類には，公衆によって直接視聴される目的をもって，無線又は有線の電気通信設備により放送事業（放送の再送信を含む）を行う事業所が分類される。
　ただし，有線の電気通信設備により放送及び通話両面のサービスを提供する事業所は中分類37－通信業［3713］に分類される。
"
"380","管理，補助的経済活動を行う事業所（38放送業）",""
"3800","主として管理事務を行う本社等","主として放送業の事業所を統括する本社等として，自企業の経営を推進するための組織全体の管理統括業務，人事・人材育成，総務，財務・経理，法務，知的財産管理，企画，広報・宣伝，営業支援・特定顧客管理，調査・研究開発，生産・プロジェクト管理，支社・支店等の管理，不動産管理，情報システム管理，保有資機材の管理，契約，仕入・原材料購入，役務・資材調達等の現業以外の業務を行う事業所をいう。
"
"3809","その他の管理，補助的経済活動を行う事業所","主として放送業における活動を促進するため，同一企業の他事業所に対して，輸送，清掃，修理・整備，保安等の支援業務を提供する事業所をいう。
"
"381","公共放送業（有線放送業を除く）",""
"3811","公共放送業（有線放送業を除く）","主として公共の目的のため，非営利的に放送事業を行う事業所をいう。
"
"382","民間放送業（有線放送業を除く）",""
"3821","テレビジョン放送業（衛星放送業を除く）","主として広告料収入又は有料放送収入によりテレビジョン放送事業（ラジオ放送事業を兼営するものを含む）を行う事業所をいう。
"
"3822","ラジオ放送業（衛星放送業を除く）","主として広告料収入又は有料放送収入によりラジオ放送事業を行う事業所をいう。
"
"3823","衛星放送業","主として放送衛星又は通信衛星を利用して放送事業を行う事業所をいう。
"
"3829","その他の民間放送業","他に分類されない放送事業を行う事業所をいう。
"
"383","有線放送業",""
"3831","有線テレビジョン放送業","主として有線の電気通信設備によりテレビジョン放送事業（ラジオ放送事業を兼営するものを含む）を行う事業所をいう。
"
"3832","有線ラジオ放送業","主として有線の電気通信設備によりラジオ放送事業のみを行う事業所をいう。
"
"39","情報サービス業","総　　　説
　この中分類には，受託開発ソフトウェア，組込みソフトウェア，パッケージソフトウェア，ゲームソフトウェアの作成及びその作成に関して，調査，分析，助言などを行う事業所，情報の処理，提供などのサービスを行う事業所が分類される。
"
"390","管理，補助的経済活動を行う事業所（39情報サービス業）",""
"3900","主として管理事務を行う本社等","主として情報サービス業の事業所を統括する本社等として，自企業の経営を推進するための組織全体の管理統括業務，人事・人材育成，総務，財務・経理，法務，知的財産管理，企画，広報・宣伝，調査・研究開発，生産・プロジェクト管理，不動産管理，情報システム管理，保有資機材の管理，契約，仕入・原材料購入，役務・資材調達等の現業以外の業務を行う事業所をいう。
"
"3909","その他の管理，補助的経済活動を行う事業所","主として情報サービス業における活動を促進するため，同一企業の他事業所に対して，輸送，清掃，修理・整備，保安等の支援業務を提供する事業所をいう。
"
"391","ソフトウェア業",""
"3911","受託開発ソフトウェア業","顧客の委託により，電子計算機のプログラムの作成及びその作成に関して，調査，分析，助言など並びにこれらを一括して行う事業所をいう。
"
"3912","組込みソフトウェア業","情報通信機械器具，輸送用機械器具，家庭用電気製品等に組込まれ，機器の機能を実現するためのソフトウェアを作成する事業所をいう。
"
"3913","パッケージソフトウェア業","電子計算機のパッケージプログラムの作成及びその作成に関して，調査，分析，助言などを行う事業所をいう。
"
"3914","ゲームソフトウェア業","家庭用テレビゲーム機，携帯用電子ゲーム機，パーソナルコンピュータ等で用いるゲームソフトウェア（ゲームソフトウェアの一部を構成するプログラムを含む。）の作成及びその作成に関して，調査，分析，助言などを行う事業所をいう。
"
"392","情報処理・提供サービス業",""
"3921","情報処理サービス業","電子計算機などを用いて委託された情報処理サービス（顧客が自ら運転する場合を含む），データエントリーサービスなどを行う事業所をいう。
"
"3922","情報提供サービス業","各種のデータを収集，加工，蓄積し，情報として提供する事業所をいう。
"
"3923","市場調査・世論調査・社会調査業","市場・世論・社会に関する情報の調査・分析を行う事業所をいう。
"
"3929","その他の情報処理・提供サービス業","他に分類されない情報処理・提供サービスを行う事業所をいう。
"
"40","インターネット附随サービス業","総　　　説
　この中分類には，インターネットを通じて，通信及び情報サービスに関する事業を行う事業所であって，他に分類されない事業所が分類される。
"
"400","管理，補助的経済活動を行う事業所（40インターネット附随サービス業）",""
